"id";"project_code";"jabatan";"kebutuhan";"p_gajipokok";"p_bpjstk";"p_bpjs_ks";"p_thr";"p_tkerja";"p_tseragam";"p_tlain";"p_training";"p_operasional";"p_membership";"r_deduction";"p_deduction";"tp_gapok";"tp_bpjstk";"tp_bpjsks";"tp_thr";"tp_tunjangankerja";"tp_tunjanganseragam";"tp_tunjanganlainnya";"tp_training";"tp_operasional";"tp_ppn";"tp_pph";"tp_cashin";"tp_total";"tp_membership";"tp_bulanan";"rate_harian";"created_by";"created_at";"updated_at"
"3";"173174";"Anggota Compliment";"2";"5000000";"20000";"20000";"2000";"20000";"2000";"2000";"20000";"2000";"2000";"16";"16";"10000000";"40000";"40000";"4000";"40000";"4000";"4000";"40000";"4000";"440";"80";"10180360";"10176000";"4000";"4218480";"245902";NULL;"2023-10-17 11:16:00";"2023-10-17 11:16:00"
"4";"173174";"Anggota";"2";"1000000";"100000";"100000";"100000";"100000";"100000";"100000";"100000";"100000";"100000";"16";"16";"2000000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"22000";"4000";"3818000";"3600000";"200000";"1008000";"49180";NULL;"2023-10-17 11:16:39";"2023-10-17 11:16:39"
"5";"880440";"Secwan";"2";"1500000";"1500000";"1500000";"1500000";"1500000";"1500000";"1500000";"1500000";"1500000";"1500000";"16";"16";"3000000";"3000000";"3000000";"3000000";"3000000";"3000000";"3000000";"3000000";"3000000";"330000";"60000";"30270000";"27000000";"3000000";"3780000";"73770";NULL;"2023-10-17 11:18:19";"2023-10-17 11:18:19"
"6";"880440";"Danru";"2";"1500000";"1500000";"1500000";"1500000";"1500000";"1500000";"1500000";"1500000";"1500000";"1500000";"16";"16";"3000000";"3000000";"3000000";"3000000";"3000000";"3000000";"3000000";"3000000";"3000000";"330000";"60000";"30270000";"27000000";"3000000";"3780000";"73770";NULL;"2023-10-17 11:18:19";"2023-10-17 11:18:19"
"7";"173174";"Secwan";"2";"1000000";"100000";"100000";"100000";"100000";"100000";"100000";"100000";"100000";"100000";"16";"16";"2000000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"22000";"4000";"3818000";"3600000";"200000";"1008000";"49180";NULL;"2023-10-17 11:16:39";"2023-10-17 11:16:39"
"8";"484440";"Anggota";"2";"4573845";"207836";"196072";"381154";"0";"183500";"0";"0";"103542";"133618";"16";"16";"9147690";"415672";"392144";"762308";"0";"367000";"0";"0";"207084";"29396";"5345";"11583185";"11291898";"267236";"3842030";"224943";NULL;"2023-10-22 18:45:05";"2023-10-22 18:45:05"
"9";"426447";"Anggota";"3";"4901798";"0";"196072";"408483";"0";"183500";"0";"784288";"70000";"147054";"0";"0";"14705394";"623508";"588216";"1225449";"0";"550500";"0";"2352864";"210000";"48528";"8823";"20736798";"20255931";"441162";"4901798";"242064";NULL;"2023-11-13 15:45:50";"2023-11-13 15:45:50"
"11";"894700";"Anggota";"9";"4230792";"191974";"181108";"352566";"0";"183500";"300000";"0";"167750";"191134";"16";"16";"38077128";"1727766";"1629972";"3173094";"0";"1651500";"2700000";"0";"1509750";"189223";"34404";"52344235";"50469210";"1720206";"3853865";"208928";NULL;"2023-11-14 10:10:17";"2023-11-14 10:10:17"
"12";"894700";"Danru";"1";"4580792";"191974";"181108";"381733";"0";"183500";"300000";"0";"167750";"191134";"16";"0";"4580792";"191974";"181108";"381733";"0";"183500";"300000";"0";"167750";"21025";"3823";"6195193";"5986857";"191134";"4147865";"226212";NULL;"2023-11-14 10:11:45";"2023-11-14 10:11:45"
